#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,last,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,,,2024-07-14T19:22:42.479Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.479Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:42.480Z,1375,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.480Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.480Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.480Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.480Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.480Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.529Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.529Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.579Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.579Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.579Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:42.580Z,1301,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.580Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.580Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.580Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.580Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.580Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.629Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.629Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.638Z,1.06813153279,PackCurrent,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,12.296,SuppBattVoltage,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0.0,LVCurrent,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0,PackOverDischargeWarning,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0,PackOverChargeWarning,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0,DOC,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0,COC,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,0,ResetFromWatchdog,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,1,ESTOP_Pressed,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.638Z,31,VicorHeatSinkTemp,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:44.044Z,43,Second,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.044Z,22,Minute,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.044Z,2,Hour,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.044Z,15,Day,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.044Z,7,Month,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.044Z,24,Year,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.052Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.052Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.052Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.052Z,1238,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.052Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.052Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.052Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.052Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.052Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.062Z,3042569887272691252,ShortGithash,MCB,Brightside,MCBGithash
,,0,,,2024-07-14T19:22:44.102Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.102Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.152Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.152Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.152Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.152Z,1297,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.152Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.152Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.152Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.152Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.152Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.202Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.202Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.252Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.252Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.252Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.252Z,1303,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.252Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.252Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.252Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.252Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.252Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.302Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.302Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.338Z,44,Second,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.338Z,22,Minute,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.338Z,2,Hour,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.338Z,15,Day,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.338Z,7,Month,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.338Z,24,Year,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:44.352Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.352Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.352Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.352Z,1304,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.352Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.352Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.352Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.352Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.352Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.402Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.402Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.452Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.452Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.452Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.452Z,1303,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.452Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.452Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.452Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.452Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.452Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.502Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.502Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.552Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.552Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.552Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.552Z,1299,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.552Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.552Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.552Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.552Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.552Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.602Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.602Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.652Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.652Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.652Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.652Z,1302,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.652Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.652Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.652Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.652Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.652Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.702Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.702Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.752Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.752Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.752Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.752Z,1297,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.752Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.752Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.752Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.752Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.752Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.802Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.802Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.852Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.852Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.852Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.852Z,1301,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.852Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.852Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.852Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.852Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.852Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.902Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.902Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.952Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.952Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:44.952Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:44.952Z,1297,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.952Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.952Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.952Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.952Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:44.952Z,0,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.002Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.002Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.052Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.052Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.052Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.052Z,1373,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.052Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.052Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.052Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.052Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.052Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.102Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.102Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.152Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.152Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.152Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.152Z,1373,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.152Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.152Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.152Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.152Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.152Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.202Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.202Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.252Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.252Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.252Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.252Z,1374,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.252Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.252Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.252Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.252Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.252Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.302Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.302Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.338Z,45,Second,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.338Z,22,Minute,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.338Z,2,Hour,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.338Z,15,Day,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.338Z,7,Month,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.338Z,24,Year,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:45.352Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.352Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.352Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.352Z,1375,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.352Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.352Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.352Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.352Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.352Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.402Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.402Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.452Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.452Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.452Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.452Z,1373,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.452Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.452Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.452Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.452Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.452Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.502Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.502Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.552Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.552Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.552Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:45.552Z,1308,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.552Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.552Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.552Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.552Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.552Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:45.602Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.602Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:45.652Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
